Defect_ID,Severity_Level,Predicted_Resolution_Time_Hours,Overdue_Days,Asset_Age_Years,Historical_Failure_Count,Joint_Block_Feasibility_Score,Confidence_Score,Task_Urgency_Tier,Priority_Score,Severity_Level_Enc,Task_Urgency_Tier_Enc,Dept_SMMS,Dept_TDMS,Dept_TMS
TDMS00030,High,4.2,40,24.1,2,54.2,0.757,This_Week,61.8,3,3,0,1,0
TDMS00031,Critical,5.01,20,6.8,3,64.9,0.898,Immediate,78.7,4,4,0,1,0
TDMS00032,High,5.11,40,29.3,1,33.4,0.617,This_Week,67.0,3,3,0,1,0
TDMS00033,Medium,3.26,60,12.0,0,30.2,0.744,This_Month,52.3,2,2,0,1,0
TDMS00034,Medium,3.09,60,6.5,1,49.0,0.741,This_Month,53.7,2,2,0,1,0
TDMS00035,Critical,5.7,20,18.2,0,45.2,0.571,Immediate,78.7,4,4,0,1,0
TDMS00036,Critical,6.14,20,14.5,3,60.2,0.72,Immediate,67.9,4,4,0,1,0
TDMS00037,Critical,6.5,20,9.4,0,46.1,0.503,Immediate,69.0,4,4,0,1,0
TDMS00038,Critical,4.49,20,19.2,0,37.5,0.521,Immediate,79.5,4,4,0,1,0
TDMS00039,High,3.79,14,15.1,1,49.6,0.743,This_Month,47.0,3,2,0,1,0
TDMS00040,Medium,3.81,53,12.6,3,28.0,0.876,This_Month,49.5,2,2,0,1,0
TDMS00041,High,3.11,40,17.2,4,34.5,0.802,This_Week,64.8,3,3,0,1,0
TDMS00042,High,4.32,40,28.2,1,44.7,0.623,This_Week,66.0,3,3,0,1,0
TDMS00043,High,3.83,40,27.2,4,35.2,0.773,This_Week,65.4,3,3,0,1,0
TDMS00044,High,4.82,40,11.6,4,37.1,0.875,This_Month,59.8,3,2,0,1,0
TDMS00045,High,4.08,40,19.0,2,37.7,0.698,This_Week,66.3,3,3,0,1,0
TDMS00046,Critical,4.47,20,27.9,1,67.2,0.667,Immediate,82.2,4,4,0,1,0
TDMS00047,Medium,3.02,60,9.6,1,37.5,0.71,This_Month,55.4,2,2,0,1,0
TDMS00048,High,3.85,40,10.7,1,63.9,0.774,This_Month,58.5,3,2,0,1,0
TDMS00049,High,3.87,40,15.2,4,37.0,0.853,This_Week,66.2,3,3,0,1,0
TDMS00050,High,3.71,40,29.8,0,51.9,0.734,This_Week,60.0,3,3,0,1,0
TDMS00051,High,4.17,40,21.8,0,38.5,0.831,This_Week,60.0,3,3,0,1,0
TDMS00052,Medium,3.46,60,15.2,1,37.5,0.55,This_Month,49.9,2,2,0,1,0
TDMS00053,Medium,3.43,60,25.8,4,27.2,0.9,This_Month,45.6,2,2,0,1,0
TDMS00054,Critical,4.85,20,8.5,1,87.6,0.759,Immediate,84.7,4,4,0,1,0
TDMS00055,Critical,4.45,20,16.0,1,64.0,0.737,Immediate,75.1,4,4,0,1,0
TDMS00056,Critical,5.13,20,12.2,1,66.4,0.717,Immediate,73.6,4,4,0,1,0
TDMS00057,High,3.77,40,14.2,1,30.0,0.669,This_Month,59.0,3,2,0,1,0
TDMS00058,Medium,3.7,2,3.6,0,54.7,0.777,Programmed,25.0,2,1,0,1,0
TDMS00059,Critical,4.72,20,11.2,2,63.0,0.782,Immediate,76.5,4,4,0,1,0
TDMS00060,Critical,4.19,20,8.0,0,50.2,0.621,Immediate,70.4,4,4,0,1,0
TDMS00061,Critical,5.43,20,21.9,0,39.5,0.54,Immediate,86.3,4,4,0,1,0
TDMS00062,High,5.51,40,16.4,4,38.2,0.807,This_Week,70.4,3,3,0,1,0
TDMS00063,Critical,5.56,20,8.8,1,62.1,0.764,Immediate,84.6,4,4,0,1,0
TDMS00064,Critical,5.12,20,24.9,3,50.7,0.748,Immediate,81.9,4,4,0,1,0
TDMS00065,High,4.34,40,8.5,3,54.3,0.72,This_Week,62.3,3,3,0,1,0
TDMS00066,High,4.03,0,6.1,1,51.3,0.787,This_Month,44.4,3,2,0,1,0
TDMS00067,Medium,3.12,60,12.1,4,69.2,0.764,This_Month,51.0,2,2,0,1,0
TDMS00068,Critical,5.56,20,1.1,1,65.8,0.688,Immediate,76.3,4,4,0,1,0
TDMS00069,Medium,3.9,60,11.8,1,31.2,0.736,This_Month,55.2,2,2,0,1,0
TDMS00070,Critical,4.53,20,19.4,0,50.3,0.627,Immediate,84.6,4,4,0,1,0
TDMS00071,High,4.42,40,11.9,2,30.5,0.769,This_Week,71.9,3,3,0,1,0
TDMS00072,Critical,4.98,20,23.1,5,53.4,0.732,Immediate,77.7,4,4,0,1,0
TDMS00073,Critical,5.0,20,17.6,1,35.2,0.65,Immediate,69.4,4,4,0,1,0
TDMS00074,Critical,6.13,20,11.2,1,37.8,0.688,Immediate,74.7,4,4,0,1,0
TDMS00075,Critical,5.1,20,6.5,0,35.6,0.544,Immediate,82.0,4,4,0,1,0
TDMS00076,Medium,2.92,60,23.6,3,23.4,0.929,This_Month,40.3,2,2,0,1,0
TDMS00077,High,4.24,40,14.6,0,64.9,0.781,This_Week,61.9,3,3,0,1,0
TDMS00078,High,3.94,40,27.9,0,49.6,0.628,This_Month,55.6,3,2,0,1,0
TDMS00079,High,4.11,40,25.9,3,35.0,0.737,This_Week,67.4,3,3,0,1,0
TDMS00080,Critical,5.69,20,12.9,4,36.8,0.884,Immediate,75.9,4,4,0,1,0
TDMS00081,High,4.08,40,25.2,2,37.8,0.864,This_Week,66.7,3,3,0,1,0
TDMS00082,Critical,5.57,20,10.8,1,42.6,0.717,Immediate,71.5,4,4,0,1,0
TDMS00083,High,3.71,40,18.8,3,31.7,0.747,This_Week,67.0,3,3,0,1,0
TDMS00084,Critical,4.97,20,19.2,3,69.7,0.742,Immediate,81.3,4,4,0,1,0
TDMS00085,Medium,3.07,60,19.0,1,26.9,0.736,This_Month,52.5,2,2,0,1,0
TDMS00086,High,3.5,40,6.6,0,40.2,0.638,This_Week,68.5,3,3,0,1,0
TDMS00087,Medium,3.33,60,14.5,0,30.0,0.52,This_Month,57.7,2,2,0,1,0
TDMS00088,High,3.88,40,14.8,1,49.0,0.784,This_Week,66.4,3,3,0,1,0
TDMS00089,Critical,6.01,20,26.5,3,79.7,0.694,Immediate,81.6,4,4,0,1,0
TDMS00090,Medium,5.88,60,8.9,3,45.9,0.779,This_Month,56.4,2,2,0,1,0
TDMS00091,Medium,3.25,60,3.8,0,41.0,0.608,This_Month,51.2,2,2,0,1,0
TDMS00092,Critical,4.31,20,6.3,4,82.9,0.913,Immediate,73.1,4,4,0,1,0
TDMS00093,Critical,4.66,20,15.9,1,37.3,0.725,Immediate,81.1,4,4,0,1,0
TDMS00094,Medium,3.23,60,13.8,4,26.3,0.89,This_Month,42.1,2,2,0,1,0
TDMS00095,Critical,5.19,20,8.2,1,73.9,0.733,Immediate,73.8,4,4,0,1,0
TDMS00096,High,4.45,40,11.9,2,54.0,0.809,This_Week,73.3,3,3,0,1,0
TDMS00097,High,3.67,40,2.9,2,55.6,0.912,This_Week,60.5,3,3,0,1,0
TDMS00098,Critical,4.88,20,11.8,2,76.0,0.822,Immediate,78.3,4,4,0,1,0
TDMS00099,Medium,4.18,60,22.0,2,26.6,0.827,This_Month,54.6,2,2,0,1,0
TDMS00100,High,3.74,40,26.4,4,71.9,0.786,This_Week,62.7,3,3,0,1,0
TDMS00101,High,4.97,21,13.5,3,54.2,0.886,This_Month,56.5,3,2,0,1,0
TDMS00102,Medium,3.79,2,11.2,2,70.5,0.96,Programmed,25.9,2,1,0,1,0
TDMS00103,High,4.88,40,26.5,2,39.8,0.725,This_Week,69.5,3,3,0,1,0
TDMS00104,Medium,3.5,60,26.6,3,32.3,0.788,This_Month,48.9,2,2,0,1,0
TDMS00105,Medium,4.71,60,5.0,2,57.3,0.949,This_Month,49.5,2,2,0,1,0
TDMS00106,Critical,5.74,20,24.9,2,68.6,0.626,Immediate,83.4,4,4,0,1,0
TDMS00107,Medium,3.91,60,23.1,1,27.8,0.622,This_Month,56.8,2,2,0,1,0
TDMS00108,Medium,2.67,60,17.8,4,38.6,0.76,This_Month,50.1,2,2,0,1,0
TDMS00109,High,3.87,40,18.6,3,63.8,0.737,This_Week,65.3,3,3,0,1,0
TDMS00110,Critical,4.77,20,22.9,3,48.1,0.606,Immediate,83.1,4,4,0,1,0
TDMS00111,Medium,2.77,60,21.0,1,22.5,0.752,This_Month,55.3,2,2,0,1,0
TDMS00112,High,4.52,40,16.0,0,54.6,0.693,This_Week,71.9,3,3,0,1,0
TDMS00113,Critical,4.94,20,22.7,0,50.8,0.554,Immediate,72.2,4,4,0,1,0
TDMS00114,Critical,5.32,20,1.5,1,42.7,0.698,Immediate,68.9,4,4,0,1,0
TDMS00115,Medium,3.83,60,9.5,0,24.3,0.655,Programmed,39.8,2,1,0,1,0
TDMS00116,Critical,4.65,20,3.9,0,31.2,0.646,Immediate,69.0,4,4,0,1,0
TDMS00117,Critical,3.99,20,10.5,1,40.5,0.781,Immediate,73.9,4,4,0,1,0
TDMS00118,Critical,3.74,20,3.3,3,67.2,0.733,Immediate,80.8,4,4,0,1,0
TDMS00119,Medium,3.28,60,26.1,4,51.7,0.776,This_Month,51.6,2,2,0,1,0
TDMS00120,Critical,5.22,20,26.6,2,67.1,0.75,Immediate,79.5,4,4,0,1,0
TDMS00121,Medium,3.29,60,6.7,2,28.4,0.871,This_Month,50.1,2,2,0,1,0
TDMS00122,Critical,5.77,20,3.4,1,55.6,0.74,Immediate,77.6,4,4,0,1,0
TDMS00123,Medium,3.22,60,10.7,1,36.5,0.689,This_Month,40.6,2,2,0,1,0
TDMS00124,Critical,4.99,20,26.0,3,47.4,0.748,Immediate,78.5,4,4,0,1,0
TDMS00125,Critical,4.17,20,8.2,4,45.2,0.793,Immediate,74.4,4,4,0,1,0
TDMS00126,High,3.76,40,5.5,0,49.8,0.631,This_Month,53.6,3,2,0,1,0
TDMS00127,Critical,4.38,20,18.6,3,65.1,0.777,Immediate,70.2,4,4,0,1,0
TDMS00128,Critical,4.77,20,14.3,1,78.2,0.793,Immediate,81.8,4,4,0,1,0
TDMS00129,High,5.11,40,29.6,2,61.3,0.877,This_Month,56.9,3,2,0,1,0
TDMS00130,Medium,3.44,60,26.1,1,19.4,0.806,This_Month,51.9,2,2,0,1,0
TDMS00131,Critical,4.96,20,6.6,0,55.0,0.584,Immediate,77.1,4,4,0,1,0
TDMS00132,Medium,3.06,60,5.4,0,23.1,0.717,This_Month,58.6,2,2,0,1,0
TDMS00133,Medium,4.12,60,8.7,4,29.9,0.713,This_Month,44.8,2,2,0,1,0
TDMS00134,High,3.49,40,18.0,2,59.9,0.793,This_Week,70.1,3,3,0,1,0
TDMS00135,Medium,3.39,22,5.0,1,49.4,0.752,Programmed,30.4,2,1,0,1,0
TDMS00136,Medium,4.01,60,24.2,2,54.8,0.842,This_Month,56.3,2,2,0,1,0
TDMS00137,High,4.49,40,20.8,3,44.0,0.804,This_Week,64.6,3,3,0,1,0
TDMS00138,Critical,5.33,20,7.9,1,60.9,0.811,Immediate,80.4,4,4,0,1,0
TDMS00139,Medium,4.81,60,14.8,1,27.0,0.785,This_Month,56.2,2,2,0,1,0
TDMS00140,High,3.37,40,27.3,0,62.8,0.531,This_Month,56.4,3,2,0,1,0
TDMS00141,Medium,4.0,60,26.7,3,75.4,0.752,This_Month,59.4,2,2,0,1,0
TDMS00142,Critical,5.61,20,16.3,1,31.1,0.538,Immediate,78.5,4,4,0,1,0
TDMS00143,Critical,4.23,20,25.4,2,68.4,0.712,Immediate,74.9,4,4,0,1,0
TDMS00144,High,5.13,40,29.6,0,43.5,0.523,This_Week,67.8,3,3,0,1,0
TDMS00145,Medium,3.53,0,25.5,1,28.9,0.893,Programmed,29.6,2,1,0,1,0
TDMS00146,High,3.97,40,13.9,3,57.6,0.709,This_Week,62.1,3,3,0,1,0
TDMS00147,Medium,3.5,0,10.2,2,29.8,0.934,Programmed,27.4,2,1,0,1,0
TDMS00148,Medium,3.26,32,6.6,1,57.9,0.669,This_Month,41.2,2,2,0,1,0
TDMS00149,High,5.09,40,5.2,1,64.0,0.676,This_Week,66.7,3,3,0,1,0
TDMS00150,High,4.15,40,10.1,4,33.5,0.89,This_Week,66.2,3,3,0,1,0
TDMS00151,High,3.26,40,21.7,3,37.2,0.61,This_Week,69.1,3,3,0,1,0
TDMS00152,Critical,4.4,20,29.0,5,63.8,0.575,Immediate,85.7,4,4,0,1,0
TDMS00153,Critical,5.89,20,11.3,3,71.8,0.769,Immediate,77.0,4,4,0,1,0
TDMS00154,Medium,3.4,60,3.5,0,54.8,0.771,This_Month,46.0,2,2,0,1,0
TDMS00155,Critical,5.08,20,9.2,0,70.0,0.577,Immediate,78.2,4,4,0,1,0
TDMS00156,High,3.7,40,19.7,2,53.5,0.595,This_Month,58.3,3,2,0,1,0
TDMS00157,High,4.46,40,22.0,1,67.1,0.691,This_Month,56.1,3,2,0,1,0
TDMS00158,Medium,4.3,60,19.7,1,35.1,0.635,This_Month,54.9,2,2,0,1,0
TDMS00159,High,3.96,40,11.8,3,39.1,0.705,This_Week,63.3,3,3,0,1,0
TDMS00160,Medium,3.81,60,28.1,4,33.7,0.839,This_Month,57.1,2,2,0,1,0
TDMS00161,Critical,4.82,20,11.8,0,72.8,0.677,Immediate,77.9,4,4,0,1,0
TDMS00162,Medium,3.2,60,28.2,1,70.8,0.809,This_Month,52.0,2,2,0,1,0
TDMS00163,Critical,5.74,20,5.9,3,66.8,0.797,Immediate,73.3,4,4,0,1,0
TDMS00164,Critical,5.58,20,3.0,1,43.0,0.773,Immediate,77.5,4,4,0,1,0
TDMS00165,Medium,3.34,60,12.0,3,33.5,0.864,This_Month,56.1,2,2,0,1,0
TDMS00166,High,5.55,40,4.9,2,61.1,0.708,This_Week,65.5,3,3,0,1,0
TDMS00167,Medium,3.69,60,28.9,6,33.1,0.87,This_Month,55.3,2,2,0,1,0
TDMS00168,Medium,2.92,10,23.9,5,26.3,0.753,Programmed,26.6,2,1,0,1,0
TDMS00169,Medium,3.68,26,5.6,0,28.6,0.718,Programmed,35.4,2,1,0,1,0
TDMS00170,High,4.29,40,19.6,1,54.8,0.782,This_Week,66.4,3,3,0,1,0
TDMS00171,Medium,2.77,60,28.9,4,33.2,0.673,This_Month,45.9,2,2,0,1,0
TDMS00172,High,4.6,40,30.0,1,81.6,0.563,This_Month,51.1,3,2,0,1,0
TDMS00173,Critical,4.79,17,11.4,1,44.7,0.784,Immediate,74.3,4,4,0,1,0
TDMS00174,High,3.24,40,22.1,3,67.1,0.667,This_Week,67.6,3,3,0,1,0
TDMS00175,Critical,6.19,20,11.4,6,39.6,0.848,Immediate,76.9,4,4,0,1,0
TDMS00176,Critical,3.85,20,16.2,0,69.6,0.551,Immediate,80.7,4,4,0,1,0
TDMS00177,High,4.14,40,17.8,1,57.3,0.791,This_Month,58.1,3,2,0,1,0
TDMS00178,Medium,4.01,60,1.3,0,58.2,0.707,This_Month,43.0,2,2,0,1,0
TDMS00179,High,4.1,40,4.3,0,70.5,0.672,This_Week,69.3,3,3,0,1,0
TDMS00180,High,4.03,40,12.3,1,38.9,0.598,This_Month,56.3,3,2,0,1,0
TDMS00181,High,4.71,40,22.8,3,29.7,0.741,This_Week,68.0,3,3,0,1,0
TDMS00182,Medium,3.12,0,5.3,2,39.1,0.922,Programmed,30.6,2,1,0,1,0
TDMS00183,Medium,3.55,60,17.4,2,53.1,0.762,This_Month,43.6,2,2,0,1,0
TDMS00184,Critical,5.11,20,16.7,2,43.4,0.799,Immediate,66.9,4,4,0,1,0
TDMS00185,Medium,3.14,60,8.0,2,37.3,0.86,This_Month,54.1,2,2,0,1,0
TDMS00186,Medium,4.07,60,13.6,1,51.1,0.583,This_Month,55.4,2,2,0,1,0
TDMS00187,High,4.97,40,25.8,5,43.1,0.811,This_Week,61.1,3,3,0,1,0
TDMS00188,Critical,4.04,20,20.9,3,42.7,0.767,Immediate,81.7,4,4,0,1,0
TDMS00189,Critical,4.55,20,1.7,2,69.3,0.849,Immediate,83.0,4,4,0,1,0
TDMS00190,Critical,5.09,20,18.4,0,39.6,0.611,Immediate,78.3,4,4,0,1,0
TDMS00191,Medium,3.36,60,23.0,4,25.0,0.644,This_Month,52.9,2,2,0,1,0
TDMS00192,Medium,4.19,60,22.3,2,37.7,0.781,This_Month,54.1,2,2,0,1,0
TDMS00193,Critical,4.82,20,28.4,2,95.9,0.739,Immediate,77.9,4,4,0,1,0
TDMS00194,High,4.72,40,19.0,1,51.6,0.649,This_Month,58.8,3,2,0,1,0
TDMS00195,Critical,4.52,20,11.2,2,61.2,0.601,Immediate,72.6,4,4,0,1,0
TDMS00196,High,3.26,40,14.1,5,68.2,0.717,This_Month,55.6,3,2,0,1,0
TDMS00197,Medium,3.51,60,15.9,1,51.7,0.83,This_Month,52.2,2,2,0,1,0
TDMS00198,Critical,4.77,0,13.9,1,57.9,0.869,Immediate,73.1,4,4,0,1,0
TDMS00199,High,3.6,40,23.3,3,37.4,0.656,This_Week,70.8,3,3,0,1,0
TDMS00200,High,5.17,40,6.3,2,33.0,0.788,This_Week,66.8,3,3,0,1,0
TDMS00201,Critical,5.44,20,16.3,1,69.7,0.5,Immediate,78.3,4,4,0,1,0
TDMS00202,High,4.03,3,13.6,1,39.2,0.691,Programmed,38.3,3,1,0,1,0
TDMS00203,High,4.11,40,3.7,0,42.8,0.715,This_Week,66.0,3,3,0,1,0
TDMS00204,High,4.59,40,22.6,3,37.3,0.79,This_Week,68.5,3,3,0,1,0
TDMS00205,High,4.07,40,18.0,3,49.6,0.83,This_Week,66.0,3,3,0,1,0
TDMS00206,Medium,3.85,60,9.0,1,45.0,0.607,This_Month,42.1,2,2,0,1,0
TDMS00207,High,4.32,40,19.5,2,49.3,0.797,This_Week,67.3,3,3,0,1,0
TDMS00208,High,4.09,40,24.7,4,63.8,0.834,This_Week,62.4,3,3,0,1,0
TDMS00209,Medium,3.7,13,11.0,1,17.3,0.719,Programmed,37.8,2,1,0,1,0
TDMS00210,High,4.59,40,9.3,4,26.3,0.756,This_Week,65.3,3,3,0,1,0
TDMS00211,Critical,4.41,20,20.0,1,37.3,0.761,Immediate,75.2,4,4,0,1,0
TDMS00212,High,5.28,40,5.3,0,30.0,0.754,This_Week,63.2,3,3,0,1,0
TDMS00213,High,4.76,40,20.4,0,27.4,0.679,This_Week,65.0,3,3,0,1,0
TDMS00214,High,4.82,40,23.7,5,40.0,0.851,This_Week,73.6,3,3,0,1,0
TDMS00215,Critical,5.14,20,7.2,3,65.8,0.78,Immediate,75.2,4,4,0,1,0
TDMS00216,Critical,5.71,20,17.4,3,50.8,0.631,Immediate,80.4,4,4,0,1,0
TDMS00217,Critical,4.71,20,19.4,2,54.4,0.837,Immediate,78.2,4,4,0,1,0
TDMS00218,Medium,3.09,60,21.9,0,30.4,0.6,This_Month,52.1,2,2,0,1,0
TDMS00219,Critical,4.81,20,11.9,2,46.5,0.575,Immediate,78.4,4,4,0,1,0
TDMS00220,Medium,3.38,60,27.0,1,23.1,0.639,This_Month,50.7,2,2,0,1,0
TDMS00221,Critical,5.32,20,21.1,1,43.7,0.649,Immediate,78.3,4,4,0,1,0
TDMS00222,Critical,4.48,20,4.2,2,47.9,0.859,Immediate,73.3,4,4,0,1,0
TDMS00223,Critical,5.65,20,4.4,0,44.4,0.768,Immediate,76.2,4,4,0,1,0
TDMS00224,High,4.51,31,19.8,2,74.0,0.707,This_Month,55.2,3,2,0,1,0
TDMS00225,Critical,4.38,20,18.2,1,35.5,0.623,Immediate,74.2,4,4,0,1,0
TDMS00226,Critical,5.75,20,25.4,3,89.8,0.917,Immediate,77.1,4,4,0,1,0
TDMS00227,Critical,4.37,20,14.9,3,47.5,0.726,Immediate,76.7,4,4,0,1,0
TDMS00228,Critical,5.08,20,21.0,4,41.3,0.764,Immediate,81.8,4,4,0,1,0
TDMS00229,Critical,5.4,20,9.4,1,72.6,0.709,Immediate,73.5,4,4,0,1,0
TDMS00230,Medium,3.41,60,19.2,6,37.3,0.838,This_Month,53.8,2,2,0,1,0
TDMS00231,Medium,3.31,0,24.4,3,53.3,0.92,Programmed,25.0,2,1,0,1,0
TDMS00232,Medium,3.76,60,28.3,0,37.3,0.715,This_Month,53.6,2,2,0,1,0
TDMS00233,High,4.02,40,16.8,1,34.0,0.667,This_Month,57.9,3,2,0,1,0
TDMS00234,Critical,5.22,20,17.5,3,69.2,0.586,Immediate,76.0,4,4,0,1,0
TDMS00235,High,4.53,40,13.9,2,26.1,0.873,This_Week,67.6,3,3,0,1,0
TDMS00236,Medium,3.43,60,7.1,1,65.5,0.608,This_Month,44.0,2,2,0,1,0
TDMS00237,High,4.0,40,20.2,1,29.2,0.666,This_Week,68.2,3,3,0,1,0
TDMS00238,High,4.83,40,20.1,3,28.1,0.637,This_Week,70.3,3,3,0,1,0
TDMS00239,High,4.67,40,1.9,0,34.4,0.678,This_Week,62.0,3,3,0,1,0
TDMS00240,Critical,4.8,20,10.4,1,55.0,0.635,Immediate,73.6,4,4,0,1,0
TDMS00241,Medium,3.24,60,14.4,0,25.6,0.698,This_Month,52.6,2,2,0,1,0
TDMS00242,High,4.43,40,18.7,2,62.5,0.712,This_Week,60.4,3,3,0,1,0
TDMS00243,High,4.28,19,2.4,1,39.3,0.692,This_Month,56.1,3,2,0,1,0
TDMS00244,Medium,4.03,13,18.2,0,29.9,0.787,Programmed,26.6,2,1,0,1,0
TDMS00245,High,3.97,40,25.2,3,46.1,0.724,This_Week,67.5,3,3,0,1,0
TDMS00246,Medium,3.49,60,9.0,3,29.9,0.622,This_Month,48.9,2,2,0,1,0
TDMS00247,Critical,4.41,20,4.1,3,44.2,0.715,Immediate,78.9,4,4,0,1,0
TDMS00248,Medium,2.31,60,25.8,2,48.8,0.774,This_Month,50.1,2,2,0,1,0
TDMS00249,Critical,4.26,20,25.8,0,65.0,0.734,Immediate,77.7,4,4,0,1,0
TDMS00250,Medium,3.25,60,13.0,1,64.9,0.611,This_Month,57.5,2,2,0,1,0
TDMS00251,High,4.58,40,18.3,1,30.3,0.734,This_Week,67.0,3,3,0,1,0
TDMS00252,High,4.01,40,7.0,1,42.0,0.709,This_Week,70.1,3,3,0,1,0
TDMS00253,Critical,5.1,20,8.6,1,46.6,0.624,Immediate,71.1,4,4,0,1,0
TDMS00254,Medium,3.76,60,6.4,0,27.0,0.508,This_Month,43.1,2,2,0,1,0
TDMS00255,High,4.43,40,15.8,3,45.0,0.63,This_Month,59.1,3,2,0,1,0
TDMS00256,Medium,4.86,60,5.9,2,37.2,0.681,This_Month,53.9,2,2,0,1,0
TDMS00257,Critical,5.6,20,26.3,4,92.8,0.615,Immediate,82.6,4,4,0,1,0
TDMS00258,High,4.06,40,22.9,3,38.9,0.737,This_Week,63.2,3,3,0,1,0
TDMS00259,High,4.39,40,20.8,1,32.7,0.682,This_Week,71.3,3,3,0,1,0
TDMS00260,Critical,4.33,20,14.5,1,41.1,0.764,Immediate,71.6,4,4,0,1,0
TDMS00261,High,3.95,40,3.7,1,77.2,0.506,This_Month,59.1,3,2,0,1,0
TDMS00262,High,3.96,40,25.2,1,37.1,0.702,This_Week,69.6,3,3,0,1,0
TDMS00263,High,3.4,40,22.6,4,64.3,0.785,This_Week,66.6,3,3,0,1,0
TDMS00264,High,4.69,40,23.2,3,43.3,0.823,This_Week,69.5,3,3,0,1,0
TDMS00265,Critical,5.36,20,21.6,0,55.8,0.57,Immediate,72.4,4,4,0,1,0
TDMS00266,Medium,3.52,60,20.9,1,56.0,0.698,This_Month,52.3,2,2,0,1,0
TDMS00267,Critical,5.57,20,20.6,3,49.6,0.894,Immediate,78.2,4,4,0,1,0
TDMS00268,Critical,4.82,20,2.7,0,75.4,0.749,Immediate,80.1,4,4,0,1,0
TDMS00269,High,3.9,40,14.5,2,37.0,0.727,This_Week,65.0,3,3,0,1,0
TDMS00270,Critical,5.06,20,22.8,2,53.9,0.738,Immediate,73.5,4,4,0,1,0
TDMS00271,High,3.35,40,3.3,0,52.0,0.533,This_Week,67.0,3,3,0,1,0
TDMS00272,Medium,3.83,60,5.2,1,37.4,0.805,This_Month,52.1,2,2,0,1,0
TDMS00273,High,5.06,40,1.3,1,32.7,0.692,This_Week,60.3,3,3,0,1,0
TDMS00274,Critical,4.55,20,8.3,4,61.2,0.881,Immediate,82.0,4,4,0,1,0
TDMS00275,Critical,4.73,20,12.1,1,50.2,0.669,Immediate,74.4,4,4,0,1,0
TDMS00276,Critical,4.63,20,26.6,1,50.4,0.668,Immediate,75.5,4,4,0,1,0
TDMS00277,Medium,3.89,52,25.5,1,59.8,0.705,This_Month,42.8,2,2,0,1,0
