Defect_ID,Section_ID,Station1,Station2,Chainage_KM,Zone,Division,Corridor_ID,Asset_ID,Asset_Type,Defect_Type,Severity_Level,Detection_Method,Latitude,Longitude,Reported_Date,Date_to_Start_work,Date_to_End_work,Work_Due_Date,Work_Overall_Duration,Work_Duration_Per_Day,Overdue_Days,Asset_Age_Years,Last_Maintenance_Date,Maintenance_Frequency_Days,Historical_Failure_Count,Voltage_V,Current_A,Power_Load_MW,Wind_Speed_kmh,Weather_Condition,Component_Health,Traffic_Trains_Per_Day,Goods_Trains_Forecast,Route_Criticality,Overlapping_Engineering_Request,Overlapping_SNT_Request,Joint_Block_Feasibility_Score,Task_Urgency_Tier,Planning_Horizon,Recommended_Block_Duration_Min,Joint_Block_Recommendation,Failure_Probability_72h,Remaining_Useful_Life_Hours,Priority_Score,Priority_Class,Predicted_Resolution_Time_Hours,Risk_If_Delayed,Confidence_Score
TDMS00011,RFUSY-YYI,RFUSY,YYI,119.15,Southern Railway,Chennai,CORR_010,TRD_CIRCUIT_BREAKER_TRIP_F0011,TRACTION_POWER_EQUIPMENT,Circuit Breaker Trip,High,Manual_Inspection,11.847692,83.540838,14-08-2025,04-09-2026,05-09-2026,07-09-2026,4.01,3.77,40,24.9,07-05-2026,365,1,2293.9,188.2,46.8,21.5,Snowy,Overheated,77,16,HIGH,True,False,73.1,This_Week,Weekly,226,Yes,0.427,450.3,67.6,B,4.01,70.6,0.514
TDMS00012,WUKZ-MIH,WUKZ,MIH,27.34,Southern Railway,Palakkad,CORR_004,TRD_SAGGING_F0012,OHE_CONTACT_LINE,Sagging,Critical,Visual_Patrol,11.247566,70.627455,01-02-2026,06-09-2026,07-09-2026,08-09-2026,4.75,4.15,20,15.6,28-08-2025,90,2,1891.9,226.9,47.7,20.5,Rainy,Faulty,44,25,MEDIUM,False,False,43.5,Immediate,Weekly,249,No,0.715,302.8,76.0,A,4.75,94.8,0.672
TDMS00013,MBHZ-WZDJQ,MBHZ,WZDJQ,4.96,South Central Railway,Vijayawada,CORR_003,TRD_OVERHEATING_F0013,TRACTION_POWER_EQUIPMENT,Overheating,High,Sensor_Alert,16.199121,81.399519,26-08-2026,11-09-2026,11-09-2026,13-09-2026,3.89,4.43,0,2.9,14-05-2026,90,3,2180.5,229.5,53.5,23.6,Windstorm,Overheated,79,24,MEDIUM,True,False,58.7,This_Month,Monthly,266,Yes,0.463,377.6,49.0,C,3.89,58.1,0.881
TDMS00014,WUVAM-LA,WUVAM,LA,114.07,South Central Railway,Nanded,CORR_002,TRD_INSULATION_FAULT_F0014,TRACTION_SUBSTATION_TRANSFORMER,Insulation Fault,Medium,Thermal_Drone,19.270775,77.88668,31-08-2025,03-09-2026,04-09-2026,07-09-2026,4.33,3.83,60,21.1,20-11-2025,365,2,2075.8,233.8,45.7,24.6,Snowy,Normal,59,25,HIGH,False,False,18.0,This_Month,Monthly,230,No,0.201,678.6,57.2,B,4.33,54.0,0.73
TDMS00015,AQ-LXD,AQ,LXD,23.55,Northern Railway,Ferozpur,CORR_011,TRD_OIL_LEAKAGE_F0015,TRACTION_SUBSTATION_TRANSFORMER,Oil Leakage,Medium,Thermal_Drone,30.845963,73.759,17-05-2026,14-09-2026,15-09-2026,18-09-2026,3.04,2.8,60,14.2,15-06-2026,365,4,2209.5,227.5,51.4,18.1,Rainy,Normal,26,19,MEDIUM,False,False,21.5,This_Month,Monthly,168,No,0.255,598.1,47.7,C,3.04,64.5,0.707
TDMS00016,EEEJT-JUY,EEEJT,JUY,79.8,Northern Railway,Lucknow,CORR_005,TRD_OVERHEATING_F0016,TRACTION_POWER_EQUIPMENT,Overheating,High,Visual_Patrol,25.619462,81.088367,23-04-2026,08-09-2026,09-09-2026,11-09-2026,3.94,3.55,40,13.2,29-08-2025,90,1,2015.4,249.9,48.5,18.9,Thunderstorm,Overheated,54,29,HIGH,False,False,35.8,This_Week,Weekly,213,No,0.448,443.6,64.1,B,3.94,83.1,0.599
TDMS00017,VQAGB-OG,VQAGB,OG,92.17,South Central Railway,Nanded,CORR_007,TRD_LINE_BREAKAGE_F0017,OHE_CONTACT_LINE,Line Breakage,Critical,Thermal_Drone,19.909739,77.09377,20-04-2026,05-09-2026,05-09-2026,06-09-2026,5.56,5.93,20,16.8,24-05-2026,90,3,2166.4,237.2,49.5,11.2,Thunderstorm,Faulty,28,22,MEDIUM,False,False,43.5,Immediate,Weekly,356,No,0.705,191.1,75.5,A,5.56,91.9,0.819
TDMS00018,LWV-ZLLOV,LWV,ZLLOV,16.52,South Central Railway,Vijayawada,CORR_003,TRD_LINE_BREAKAGE_F0018,OHE_CONTACT_LINE,Line Breakage,High,Thermal_Drone,16.357126,84.596848,18-01-2026,09-09-2026,09-09-2026,11-09-2026,4.33,4.37,40,15.2,23-08-2025,365,4,1928.5,210.6,49.9,12.8,Snowy,Overheated,31,14,HIGH,True,True,78.5,This_Week,Weekly,262,Yes,0.481,376.1,66.4,B,4.33,75.4,0.759
TDMS00019,QYVP-PLOWV,QYVP,PLOWV,48.82,South Eastern Railway,Chakradharpur,CORR_002,TRD_LINE_BREAKAGE_F0019,OHE_CONTACT_LINE,Line Breakage,Critical,Manual_Inspection,18.857485,85.520063,20-10-2025,13-09-2026,14-09-2026,15-09-2026,5.75,5.63,20,5.7,21-08-2025,365,2,2131.7,222.0,52.7,14.3,Thunderstorm,Faulty,26,29,HIGH,True,False,68.1,Immediate,Weekly,338,Yes,0.563,364.7,73.2,B,5.75,81.9,0.661
TDMS00020,DBZ-SFCL,DBZ,SFCL,50.58,Northern Railway,Lucknow,CORR_008,TRD_TRANSFORMER_FAILURE_F0020,TRACTION_SUBSTATION_TRANSFORMER,Transformer Failure,High,Manual_Inspection,30.138508,84.354996,10-04-2026,06-09-2026,07-09-2026,09-09-2026,4.26,4.03,40,10.8,05-10-2025,90,0,1892.1,201.3,49.5,28.6,Snowy,Overheated,62,5,HIGH,False,False,39.5,This_Week,Weekly,242,No,0.417,478.7,65.3,B,4.26,67.7,0.56
TDMS00021,KLRFE-CGFC,KLRFE,CGFC,14.2,Western Railway,Rajkot,CORR_003,TRD_OVERHEATING_F0021,TRACTION_POWER_EQUIPMENT,Overheating,Critical,Manual_Inspection,21.417069,70.669135,24-11-2025,05-09-2026,05-09-2026,06-09-2026,4.2,4.9,20,17.0,28-02-2026,365,0,1937.1,233.5,51.1,16.3,Snowy,Faulty,55,21,MEDIUM,False,False,43.7,Immediate,Weekly,294,No,0.66,325.7,78.9,A,4.2,90.7,0.581
TDMS00022,CJ-BAEML,CJ,BAEML,53.82,South Central Railway,Guntakal,CORR_009,TRD_OVERHEATING_F0022,TRACTION_POWER_EQUIPMENT,Overheating,Critical,Manual_Inspection,15.488171,75.804331,10-09-2025,13-09-2026,14-09-2026,15-09-2026,6.21,5.6,20,3.2,01-05-2026,90,0,1886.5,184.4,49.7,14.3,Thunderstorm,Faulty,72,14,HIGH,True,False,69.4,Immediate,Weekly,336,Yes,0.632,331.0,77.5,A,6.21,87.4,0.73
TDMS00023,BM-BNW,BM,BNW,97.54,Central Railway,Nagpur,CORR_001,TRD_TRANSFORMER_FAILURE_F0023,TRACTION_SUBSTATION_TRANSFORMER,Transformer Failure,Critical,Manual_Inspection,20.208462,78.609856,28-08-2025,09-09-2026,09-09-2026,10-09-2026,4.19,4.2,20,29.1,17-05-2026,90,0,1996.1,190.7,45.8,21.4,Rainy,Faulty,34,29,HIGH,False,False,50.8,Immediate,Weekly,252,No,0.649,251.2,78.6,A,4.19,89.1,0.635
TDMS00024,EBU-FOT,EBU,FOT,32.48,South Central Railway,Vijayawada,CORR_003,TRD_INSULATION_FAULT_F0024,TRACTION_SUBSTATION_TRANSFORMER,Insulation Fault,Medium,Sensor_Alert,17.679291,80.292272,03-12-2025,14-09-2026,15-09-2026,18-09-2026,3.37,3.35,60,20.9,11-05-2026,180,1,2261.9,187.1,47.5,13.5,Snowy,Normal,44,20,HIGH,True,False,51.0,This_Month,Monthly,201,No,0.115,722.7,50.9,B,3.37,53.5,0.658
TDMS00025,LEKR-HR,LEKR,HR,97.0,South Central Railway,Vijayawada,CORR_006,TRD_LINE_BREAKAGE_F0025,OHE_CONTACT_LINE,Line Breakage,Critical,Thermal_Drone,16.084088,84.846533,20-08-2026,08-09-2026,09-09-2026,10-09-2026,6.15,5.72,10,1.4,13-07-2026,365,0,2027.9,226.3,50.1,13.3,Clear,Faulty,50,8,MEDIUM,True,False,68.8,Immediate,Weekly,343,Yes,0.742,285.6,74.7,B,6.15,95.5,0.747
TDMS00026,KLII-TU,KLII,TU,88.34,Central Railway,Pune,CORR_001,TRD_OIL_LEAKAGE_F0026,TRACTION_SUBSTATION_TRANSFORMER,Oil Leakage,High,Visual_Patrol,14.581042,72.650944,29-09-2025,12-09-2026,12-09-2026,14-09-2026,4.37,5.02,40,13.7,19-09-2025,180,1,2156.2,213.3,46.3,29.5,Windstorm,Overheated,38,10,LOW,False,True,44.3,This_Month,Monthly,301,No,0.406,454.0,58.0,B,4.37,76.8,0.68
TDMS00027,AIPHZ-VUUF,AIPHZ,VUUF,97.56,South Eastern Railway,Chakradharpur,CORR_012,TRD_OIL_LEAKAGE_F0027,TRACTION_SUBSTATION_TRANSFORMER,Oil Leakage,High,Visual_Patrol,18.688418,84.882843,22-04-2026,08-09-2026,08-09-2026,10-09-2026,4.17,4.53,40,26.9,17-05-2026,365,4,2270.1,208.4,48.7,25.1,Clear,Overheated,25,17,MEDIUM,False,False,36.6,This_Week,Weekly,272,No,0.532,375.9,65.6,B,4.17,82.9,0.643
TDMS00028,DCJUS-SXVMM,DCJUS,SXVMM,12.86,South Eastern Railway,Ranchi,CORR_010,TRD_CONTACT_WIRE_WEAR_F0028,OHE_CONTACT_LINE,Contact Wire Wear,High,Sensor_Alert,26.125464,84.372461,22-05-2026,11-09-2026,11-09-2026,13-09-2026,3.6,3.85,40,9.6,02-11-2025,180,0,2002.2,220.5,47.5,17.0,Thunderstorm,Overheated,31,27,HIGH,True,False,65.7,This_Week,Weekly,231,Yes,0.363,490.2,62.1,B,3.6,72.8,0.666
TDMS00029,QXAXT-ULR,QXAXT,ULR,40.38,Central Railway,Mumbai CST,CORR_001,TRD_OVERHEATING_F0029,TRACTION_POWER_EQUIPMENT,Overheating,High,Thermal_Drone,16.525624,70.081396,05-01-2026,15-09-2026,15-09-2026,17-09-2026,4.23,4.93,40,2.0,16-09-2025,180,0,1901.2,203.3,45.7,10.6,Snowy,Overheated,33,29,MEDIUM,True,False,60.1,This_Week,Weekly,296,Yes,0.544,395.5,64.3,B,4.23,76.3,0.68
TDMS00030,MK-OXQKJ,MK,OXQKJ,40.32,Central Railway,Mumbai CST,CORR_002,TRD_LINE_BREAKAGE_F0030,OHE_CONTACT_LINE,Line Breakage,High,Manual_Inspection,16.65792,71.64425,05-04-2026,11-09-2026,11-09-2026,13-09-2026,4.2,4.65,40,24.1,28-07-2026,180,2,1930.2,220.9,54.5,26.3,Clear,Overheated,75,28,MEDIUM,True,False,54.2,This_Week,Weekly,279,No,0.459,467.9,61.8,B,4.2,71.9,0.757
TDMS00031,HRQAC-KET,HRQAC,KET,60.67,Southern Railway,Madurai,CORR_003,TRD_OVERHEATING_F0031,TRACTION_POWER_EQUIPMENT,Overheating,Critical,Sensor_Alert,8.212373,78.411575,31-07-2025,06-09-2026,06-09-2026,07-09-2026,5.01,5.15,20,6.8,13-05-2026,180,3,1940.2,245.7,50.0,11.9,Rainy,Faulty,32,6,HIGH,False,True,64.9,Immediate,Weekly,309,Yes,0.713,271.1,78.7,A,5.01,90.6,0.898
TDMS00032,VMO-SPJA,VMO,SPJA,83.85,Southern Railway,Chennai,CORR_002,TRD_OIL_LEAKAGE_F0032,TRACTION_SUBSTATION_TRANSFORMER,Oil Leakage,High,Manual_Inspection,13.05283,78.950738,29-07-2025,10-09-2026,11-09-2026,13-09-2026,5.11,4.62,40,29.3,10-06-2026,180,1,2130.1,184.0,47.5,10.4,Snowy,Overheated,20,24,MEDIUM,False,False,33.4,This_Week,Weekly,277,No,0.496,411.8,67.0,B,5.11,80.4,0.617
TDMS00033,KHKPF-XK,KHKPF,XK,6.61,Northern Railway,Moradabad,CORR_007,TRD_CONTACT_WIRE_WEAR_F0033,OHE_CONTACT_LINE,Contact Wire Wear,Medium,Thermal_Drone,28.98862,80.295066,12-10-2025,03-09-2026,03-09-2026,06-09-2026,3.26,3.58,60,12.0,09-04-2026,90,0,1929.2,223.6,46.0,23.4,Windstorm,Normal,23,30,HIGH,False,False,30.2,This_Month,Monthly,215,No,0.134,656.3,52.3,B,3.26,50.8,0.744
TDMS00034,FSD-HYI,FSD,HYI,1.69,Central Railway,Pune,CORR_008,TRD_LINE_BREAKAGE_F0034,OHE_CONTACT_LINE,Line Breakage,Medium,Thermal_Drone,14.85445,72.554341,12-06-2026,09-09-2026,09-09-2026,12-09-2026,3.09,3.52,60,6.5,27-04-2026,180,1,1902.8,226.5,47.9,18.0,Windstorm,Normal,28,29,HIGH,True,False,49.0,This_Month,Monthly,211,No,0.181,672.6,53.7,B,3.09,58.7,0.741
TDMS00035,QXAXT-ULR,QXAXT,ULR,25.68,Southern Railway,Tiruchirapalli,CORR_001,TRD_LINE_BREAKAGE_F0035,OHE_CONTACT_LINE,Line Breakage,Critical,Manual_Inspection,10.24616,78.967266,02-02-2026,10-09-2026,11-09-2026,12-09-2026,5.7,4.97,20,18.2,05-01-2026,90,0,2205.5,236.3,50.6,12.8,Clear,Faulty,30,19,HIGH,False,False,45.2,Immediate,Weekly,298,No,0.656,236.3,78.7,A,5.7,93.0,0.571
TDMS00036,QT-OSE,QT,OSE,62.01,Northern Railway,Moradabad,CORR_009,TRD_TRANSFORMER_FAILURE_F0036,TRACTION_SUBSTATION_TRANSFORMER,Transformer Failure,Critical,Manual_Inspection,30.703159,78.904084,22-02-2026,11-09-2026,12-09-2026,13-09-2026,6.14,5.43,20,14.5,24-05-2026,90,3,2267.7,246.4,45.3,29.9,Thunderstorm,Faulty,63,15,LOW,False,True,60.2,Immediate,Weekly,326,Yes,0.734,287.5,67.9,B,6.14,97.7,0.72
TDMS00037,WSWIZ-JGQ,WSWIZ,JGQ,78.34,South Central Railway,Vijayawada,CORR_009,TRD_LINE_BREAKAGE_F0037,OHE_CONTACT_LINE,Line Breakage,Critical,Manual_Inspection,15.641237,84.785058,16-02-2026,03-09-2026,04-09-2026,05-09-2026,6.5,6.0,20,9.4,30-01-2026,365,0,1859.5,232.5,49.5,12.9,Windstorm,Faulty,66,18,MEDIUM,False,False,46.1,Immediate,Weekly,360,No,0.616,388.8,69.0,B,6.5,98.7,0.503
TDMS00038,FR-WRM,FR,WRM,31.97,South Central Railway,Vijayawada,CORR_010,TRD_VOLTAGE_FLUCTUATION_F0038,TRACTION_POWER_EQUIPMENT,Voltage Fluctuation,Critical,Manual_Inspection,16.444355,81.234978,29-11-2025,10-09-2026,10-09-2026,11-09-2026,4.49,4.65,20,19.2,03-12-2025,365,0,1896.7,205.3,53.2,21.0,Snowy,Faulty,32,15,HIGH,False,False,37.5,Immediate,Weekly,279,No,0.717,227.8,79.5,A,4.49,89.5,0.521
TDMS00039,EPCIP-QFCW,EPCIP,QFCW,84.77,South Eastern Railway,Chakradharpur,CORR_005,TRD_OVERHEATING_F0039,TRACTION_POWER_EQUIPMENT,Overheating,High,Thermal_Drone,20.243021,85.476755,09-08-2026,12-09-2026,12-09-2026,14-09-2026,3.79,3.9,14,15.1,29-10-2025,365,1,2215.2,200.8,53.5,22.2,Windstorm,Overheated,56,18,LOW,False,True,49.6,This_Month,Monthly,234,No,0.443,407.7,47.0,C,3.79,67.2,0.743
TDMS00040,DF-VXXN,DF,VXXN,10.52,South Eastern Railway,Kharagpur,CORR_006,TRD_CIRCUIT_BREAKER_TRIP_F0040,TRACTION_POWER_EQUIPMENT,Circuit Breaker Trip,Medium,Sensor_Alert,21.279959,87.372899,21-06-2026,15-09-2026,16-09-2026,19-09-2026,3.81,3.38,53,12.6,30-11-2025,90,3,1903.4,185.9,52.1,15.9,Thunderstorm,Normal,80,26,HIGH,False,False,28.0,This_Month,Monthly,203,No,0.236,536.1,49.5,C,3.81,57.4,0.876
TDMS00041,QXQA-FCNSQ,QXQA,FCNSQ,16.52,Eastern Railway,Sealdah,CORR_006,TRD_CIRCUIT_BREAKER_TRIP_F0041,TRACTION_POWER_EQUIPMENT,Circuit Breaker Trip,High,Manual_Inspection,17.989168,88.918983,09-08-2025,15-09-2026,15-09-2026,17-09-2026,3.11,3.6,40,17.2,19-05-2026,180,4,1963.6,188.9,54.2,13.7,Snowy,Overheated,35,5,HIGH,False,False,34.5,This_Week,Weekly,216,No,0.53,446.1,64.8,B,3.11,77.8,0.802
TDMS00042,YHLGW-RHNJ,YHLGW,RHNJ,49.26,South Eastern Railway,Ranchi,CORR_008,TRD_OVERHEATING_F0042,TRACTION_POWER_EQUIPMENT,Overheating,High,Manual_Inspection,22.21631,83.654382,29-11-2025,05-09-2026,05-09-2026,07-09-2026,4.32,4.5,40,28.2,23-04-2026,180,1,2153.7,248.1,45.2,25.5,Windstorm,Overheated,30,8,MEDIUM,False,False,44.7,This_Week,Weekly,270,No,0.473,430.4,66.0,B,4.32,79.9,0.623
TDMS00043,LHMW-IU,LHMW,IU,101.76,South Central Railway,Vijayawada,CORR_011,TRD_LINE_BREAKAGE_F0043,OHE_CONTACT_LINE,Line Breakage,High,Manual_Inspection,16.940793,81.7637,09-03-2026,04-09-2026,04-09-2026,06-09-2026,3.83,4.05,40,27.2,20-01-2026,90,4,2282.7,226.6,53.0,22.7,Windstorm,Overheated,42,27,MEDIUM,False,False,35.2,This_Week,Weekly,243,No,0.536,407.0,65.4,B,3.83,83.1,0.773
TDMS00044,TYR-SG,TYR,SG,87.13,South Eastern Railway,Chakradharpur,CORR_010,TRD_CONTACT_WIRE_WEAR_F0044,OHE_CONTACT_LINE,Contact Wire Wear,High,Thermal_Drone,20.067388,84.162219,07-07-2026,07-09-2026,07-09-2026,09-09-2026,4.82,4.88,40,11.6,15-03-2026,90,4,2185.9,198.3,52.0,17.6,Rainy,Overheated,33,15,MEDIUM,False,False,37.1,This_Month,Monthly,293,No,0.542,364.1,59.8,B,4.82,81.4,0.875
TDMS00045,BU-LMHK,BU,LMHK,107.23,Central Railway,Mumbai CST,CORR_008,TRD_TRANSFORMER_FAILURE_F0045,TRACTION_SUBSTATION_TRANSFORMER,Transformer Failure,High,Manual_Inspection,17.219527,71.996288,23-11-2025,08-09-2026,08-09-2026,10-09-2026,4.08,4.35,40,19.0,05-06-2026,90,2,2047.3,188.3,48.2,15.5,Snowy,Overheated,41,23,HIGH,False,False,37.7,This_Week,Weekly,261,No,0.504,413.4,66.3,B,4.08,78.7,0.698
TDMS00046,WIBHH-XHDZ,WIBHH,XHDZ,26.63,South Central Railway,Vijayawada,CORR_009,TRD_VOLTAGE_FLUCTUATION_F0046,TRACTION_POWER_EQUIPMENT,Voltage Fluctuation,Critical,Visual_Patrol,17.63104,81.847539,05-08-2025,12-09-2026,13-09-2026,14-09-2026,4.47,4.1,20,27.9,27-09-2025,90,1,2148.4,211.0,53.0,14.7,Snowy,Faulty,59,11,HIGH,False,True,67.2,Immediate,Weekly,246,Yes,0.699,215.1,82.2,A,4.47,94.5,0.667
TDMS00047,TCTW-XX,TCTW,XX,89.65,Eastern Railway,Malda,CORR_002,TRD_VOLTAGE_FLUCTUATION_F0047,TRACTION_POWER_EQUIPMENT,Voltage Fluctuation,Medium,Thermal_Drone,26.133277,85.770441,18-03-2026,03-09-2026,04-09-2026,07-09-2026,3.02,2.8,60,9.6,28-02-2026,180,1,1963.4,190.9,49.9,17.4,Snowy,Normal,80,15,HIGH,False,False,37.5,This_Month,Monthly,168,No,0.278,576.8,55.4,B,3.02,56.5,0.71
TDMS00048,FNLVP-PNT,FNLVP,PNT,36.97,South Eastern Railway,Kharagpur,CORR_012,TRD_OIL_LEAKAGE_F0048,TRACTION_SUBSTATION_TRANSFORMER,Oil Leakage,High,Sensor_Alert,15.939781,88.779765,21-09-2025,05-09-2026,05-09-2026,07-09-2026,3.85,4.47,40,10.7,20-08-2026,90,1,2282.9,239.7,51.5,18.6,Thunderstorm,Overheated,31,26,LOW,True,False,63.9,This_Month,Monthly,268,Yes,0.404,505.0,58.5,B,3.85,72.8,0.774
TDMS00049,KWH-IPP,KWH,IPP,85.85,South Central Railway,Vijayawada,CORR_011,TRD_LINE_BREAKAGE_F0049,OHE_CONTACT_LINE,Line Breakage,High,Sensor_Alert,14.673661,84.830602,21-12-2025,05-09-2026,05-09-2026,07-09-2026,3.87,4.43,40,15.2,14-10-2025,180,4,2047.4,196.4,46.0,13.9,Clear,Overheated,58,11,HIGH,False,False,37.0,This_Week,Weekly,266,No,0.489,412.9,66.2,B,3.87,70.7,0.853
TDMS00050,YZW-RWXLU,YZW,RWXLU,37.15,South Central Railway,Vijayawada,CORR_006,TRD_OIL_LEAKAGE_F0050,TRACTION_SUBSTATION_TRANSFORMER,Oil Leakage,High,Thermal_Drone,15.32388,84.356229,06-03-2026,07-09-2026,07-09-2026,09-09-2026,3.71,3.87,40,29.8,01-03-2026,180,0,1948.8,236.2,54.2,21.9,Clear,Overheated,31,15,MEDIUM,False,False,51.9,This_Week,Weekly,232,No,0.462,429.0,60.0,B,3.71,75.2,0.734
