Defect_ID,Section_ID,Station1,Station2,Chainage_KM,Zone,Division,Latitude,Longitude,Asset_Type,Defect_Type,Severity_Level,Detection_Method,Reported_Date,Date_to_Start_work,Date_to_End_work,Work_Due_Date,Work_Overall_Duration,Work_Duration_Per_Day,Overdue_Days,Asset_Age_Years,Last_Maintenance_Date,Maintenance_Frequency_Days,Historical_Failure_Count,Section_Traffic_Density,Passenger_vs_Goods_Ratio,Available_Block_Window_Hours,Corridor_Criticality,Upcoming_Special_Traffic,Overlapping_SNT_Request,Overlapping_TD_Request,Joint_Block_Feasibility_Score,Task_Urgency_Tier,Planning_Horizon,Recommended_Block_Duration_Hours,Joint_Block_Recommendation,Priority_Score,Predicted_Resolution_Time_Hours,Risk_If_Delayed,Confidence_Score
DEF00011,JHS-CGN,JHS,CGN,29.78,Central Railway,Nagpur,22.63669,82.021967,Level Crossing,Missing/Loose Fastener,High,UFD,17-07-2026,14-09-2026,14-09-2026,16-09-2026,1.8,2.6,37,14.9,04-06-2026,30,3,5,0.79,10.75,Trunk,False,False,False,0.32,Immediate,Weekly,2.6,No,57.7,1.8,58.1,0.85
DEF00012,GAGA-PPTN,GAGA,PPTN,3.68,South Central Railway,Guntakal,14.009611,77.395547,Level Crossing,Loose/Cracked Fish Plate,Medium,UFD,05-02-2026,02-09-2026,02-09-2026,05-09-2026,2.4,3.1,180,16.6,14-06-2026,90,2,3,0.77,10.95,Branch,False,False,False,0.17,Immediate,Weekly,3.1,No,44.7,2.4,49.9,0.84
DEF00013,SDN-VDP,SDN,VDP,0.34,Central Railway,Pune,14.523967,73.087842,Bridge,Bearing Wear,Medium,Manual Patrol,31-08-2026,13-09-2026,13-09-2026,16-09-2026,12.3,13.1,0,18.2,15-08-2026,60,2,3,0.68,13.42,Branch,True,True,False,0.65,This Month,Monthly,13.1,Yes,27.7,12.3,17.8,0.74
DEF00014,JPE-NJP,JPE,NJP,16.21,South Central Railway,Guntakal,14.299767,78.67751,Ballast,Ballast Degradation,High,TRC Survey,24-07-2026,06-09-2026,06-09-2026,08-09-2026,10.0,10.5,25,21.7,02-08-2026,90,0,9,0.77,7.63,Trunk,False,False,False,0.38,This Week,Weekly,10.5,No,50.2,10.0,35.2,0.96
DEF00015,PAN-DGR,PAN,DGR,7.04,South Central Railway,Secunderabad,17.834111,78.395657,Sleeper,Cracked/Broken Sleeper,Low,TRC Survey,04-08-2025,11-09-2026,11-09-2026,16-09-2026,2.7,3.6,328,1.6,17-05-2026,60,0,14,0.78,6.3,Trunk,False,True,False,0.95,Immediate,Weekly,3.6,Yes,33.2,2.7,36.6,0.76
DEF00016,ARA-BEA,ARA,BEA,5.2,South Central Railway,Vijayawada,16.020386,86.290411,Point & Crossing,Worn Point Blade,Medium,Manual Patrol,13-03-2026,06-09-2026,06-09-2026,09-09-2026,5.5,6.5,127,28.8,28-02-2026,180,0,9,0.85,13.27,Trunk,True,False,True,0.74,Immediate,Weekly,6.5,Yes,52.4,5.5,56.7,0.77
DEF00017,KRS-ARA,KRS,ARA,5.12,Southern Railway,Chennai,13.039238,79.749607,Sleeper,Cracked/Broken Sleeper,Medium,Manual Patrol,10-08-2025,14-09-2026,14-09-2026,17-09-2026,5.9,6.5,354,33.7,28-07-2026,60,1,5,0.72,16.58,Trunk,False,False,True,0.75,Immediate,Weekly,6.5,Yes,59.8,5.9,61.0,0.97
DEF00018,ADL-SRC,ADL,SRC,3.45,Southern Railway,Salem,11.734497,77.56544,Level Crossing,Missing/Loose Fastener,High,TRC Survey,31-08-2026,13-09-2026,13-09-2026,15-09-2026,2.6,3.7,0,42.6,01-03-2026,180,7,56,0.81,2.75,Trunk,True,False,True,0.64,This Week,Weekly,3.7,Yes,55.9,2.6,46.7,0.82
DEF00019,BAMR-RAIR,BAMR,RAIR,4.89,Central Railway,Nagpur,21.028867,80.370372,Rail,Corrugation,Medium,Manual Patrol,26-12-2025,14-09-2026,14-09-2026,17-09-2026,7.9,8.7,233,2.8,26-08-2026,365,0,2,0.69,16.33,Branch,False,True,True,0.9,Immediate,Weekly,8.7,Yes,42.3,7.9,49.6,0.8
DEF00020,BGAE-SOAE,BGAE,SOAE,0.58,Central Railway,Solapur,15.310021,74.68524,Ballast,Ballast Degradation,Low,Manual Patrol,06-01-2026,07-09-2026,07-09-2026,12-09-2026,5.8,6.7,180,37.5,19-05-2026,60,3,20,0.83,3.65,Trunk,False,False,False,0.21,Immediate,Weekly,6.7,No,49.2,5.8,60.2,0.85
DEF00021,KXM-FHT,KXM,FHT,1.02,Northern Railway,Delhi,26.554655,75.052419,Level Crossing,Missing/Loose Fastener,High,TRC Survey,12-03-2026,06-09-2026,06-09-2026,08-09-2026,3.7,4.7,161,8.0,08-06-2026,365,0,3,0.69,14.8,Branch,False,False,False,0.28,Immediate,Weekly,4.7,No,57.1,3.7,53.2,0.86
DEF00022,CKP-TATA,CKP,TATA,35.18,Central Railway,Nagpur,20.29786,79.338472,Bridge,Bearing Wear,Critical,TRC Survey,15-03-2026,02-09-2026,03-09-2026,04-09-2026,16.3,10.52,168,2.9,02-06-2026,90,0,20,0.83,4.52,Trunk,False,False,False,0.05,Immediate,Weekly,10.52,No,69.5,16.3,61.8,0.75
DEF00023,MPLR-MGLE,MPLR,MGLE,4.72,Central Railway,Nagpur,21.565236,81.864138,Sleeper,Sleeper Displacement,Medium,UFD,25-07-2026,03-09-2026,03-09-2026,06-09-2026,4.0,5.1,18,2.1,29-08-2026,90,0,4,0.58,11.87,Trunk,False,False,False,0.21,This Week,Weekly,5.1,No,28.1,4.0,30.0,0.93
DEF00024,RMD-PMK,RMD,PMK,22.16,Southern Railway,Chennai,10.813521,83.592742,Rail,Rail Wear,High,Manual Patrol,30-09-2025,10-09-2026,10-09-2026,12-09-2026,6.5,7.6,324,11.9,18-07-2026,60,1,8,0.58,9.58,Trunk,True,True,False,0.61,Immediate,Weekly,7.6,Yes,62.9,6.5,56.6,0.81
DEF00025,SOLA-BBR,SOLA,BBR,1.36,Central Railway,Nagpur,23.164083,78.836389,Rail,Weld Defect,Low,UFD,03-12-2025,14-09-2026,14-09-2026,19-09-2026,5.3,6.0,213,7.8,27-08-2026,180,1,13,0.88,11.88,Trunk,False,False,False,0.35,Immediate,Weekly,6.0,No,38.8,5.3,41.6,0.82
DEF00026,ACPR-SPTR,ACPR,SPTR,1.18,Central Railway,Nagpur,22.399957,80.031171,Bridge,Bearing Wear,Low,Manual Patrol,14-02-2026,07-09-2026,07-09-2026,12-09-2026,8.9,9.7,153,30.9,21-05-2026,365,8,4,0.79,15.25,Trunk,False,False,False,0.2,Immediate,Weekly,9.7,No,50.8,8.9,46.0,0.88
DEF00027,KIR-NNA,KIR,NNA,37.49,Southern Railway,Chennai,11.016609,82.925233,Level Crossing,Loose/Cracked Fish Plate,Critical,TRC Survey,18-10-2025,08-09-2026,08-09-2026,09-09-2026,6.7,8.1,317,17.3,02-03-2026,180,1,16,0.77,5.83,Trunk,True,False,False,0.11,Immediate,Weekly,8.1,No,75.0,6.7,75.6,0.92
DEF00028,BLY-BEQ,BLY,BEQ,0.35,South Eastern Railway,Ranchi,22.644796,82.11306,Rail,Internal Flaw (UFD),Low,TRC Survey,29-09-2025,08-09-2026,08-09-2026,13-09-2026,5.7,6.3,247,29.4,09-05-2026,90,1,117,0.55,3.75,Trunk,False,True,False,0.62,Immediate,Weekly,6.3,Yes,50.5,5.7,50.1,0.9
DEF00029,SCO-SELU,SCO,SELU,7.38,South Central Railway,Vijayawada,17.316791,83.701761,Level Crossing,Missing/Loose Fastener,Medium,TRC Survey,07-01-2026,14-09-2026,14-09-2026,17-09-2026,2.9,4.3,215,38.8,14-01-2026,365,1,5,0.79,7.25,Trunk,False,False,False,0.12,Immediate,Weekly,4.3,No,60.3,2.9,60.1,0.74
DEF00030,PLO-DMN,PLO,DMN,13.9,South Central Railway,Vijayawada,16.435842,82.39286,Point & Crossing,Crossing Wear,High,TRC Survey,07-02-2026,14-09-2026,14-09-2026,16-09-2026,6.2,7.2,200,3.1,04-12-2025,365,1,16,0.77,5.12,Trunk,False,True,False,0.79,Immediate,Weekly,7.2,Yes,62.6,6.2,55.9,0.83
DEF00031,HRN-JTU,HRN,JTU,2.21,Central Railway,Bhusawal,19.883398,75.591289,Bridge,Deck Slab Crack,Medium,TRC Survey,25-07-2026,11-09-2026,12-09-2026,15-09-2026,12.7,11.95,10,44.2,12-06-2026,60,9,14,0.57,5.95,Trunk,False,False,False,0.12,This Month,Monthly,11.95,No,42.4,12.7,32.8,0.7
DEF00032,BLS-BHC,BLS,BHC,21.63,Southern Railway,Chennai,13.694605,78.621281,Point & Crossing,Crossing Wear,Low,TRC Survey,28-03-2026,03-09-2026,03-09-2026,08-09-2026,3.9,4.9,75,33.2,22-06-2026,180,3,44,0.68,3.45,Trunk,False,False,True,0.52,Immediate,Weekly,4.9,No,57.4,3.9,56.6,0.91
DEF00033,STA-MYR,STA,MYR,28.28,Western Railway,Ratlam,23.361019,75.982481,Ballast,Ballast Degradation,Low,UFD,08-04-2026,10-09-2026,10-09-2026,15-09-2026,6.1,6.6,79,30.5,05-07-2026,30,0,20,0.66,3.25,Trunk,False,False,False,0.35,Immediate,Weekly,6.6,No,47.7,6.1,51.7,0.82
DEF00034,TKJ-PGMD,TKJ,PGMD,0.45,South Central Railway,Vijayawada,17.381511,84.661382,Ballast,Insufficient Ballast Cushion,Low,Manual Patrol,08-10-2025,03-09-2026,03-09-2026,08-09-2026,7.6,8.4,219,42.9,16-07-2026,30,2,3,0.68,15.4,Branch,False,False,False,0.29,Immediate,Weekly,8.4,No,38.0,7.6,43.4,0.79
DEF00035,MEC-MTD,MEC,MTD,10.65,South Eastern Railway,Kharagpur,19.289243,86.679525,Level Crossing,Loose/Cracked Fish Plate,High,TRC Survey,27-11-2025,11-09-2026,11-09-2026,13-09-2026,4.0,5.0,271,28.9,19-07-2026,30,0,9,0.56,7.33,Trunk,False,True,True,0.74,Immediate,Weekly,5.0,Yes,63.8,4.0,60.4,0.92
DEF00036,MYK-SLU,MYK,SLU,4.74,Central Railway,Pune,16.506436,73.366249,Sleeper,Sleeper Displacement,Low,TRC Survey,09-08-2026,06-09-2026,06-09-2026,11-09-2026,4.9,5.8,0,9.8,14-06-2026,60,3,6,0.8,5.92,Trunk,True,False,False,0.26,Programmed,Monthly,5.8,No,8.4,4.9,2.9,0.93
DEF00037,DRH-DRTP,DRH,DRTP,3.82,South Central Railway,Nanded,19.223637,76.145601,Level Crossing,Loose/Cracked Fish Plate,High,UFD,06-08-2025,08-09-2026,08-09-2026,10-09-2026,4.1,5.4,376,16.5,08-07-2026,30,2,12,0.59,4.48,Trunk,False,False,False,0.14,Immediate,Weekly,5.4,No,61.2,4.1,66.2,0.86
DEF00038,SSPN-PKD,SSPN,PKD,3.86,South Central Railway,Vijayawada,16.646865,81.320524,Point & Crossing,Crossing Wear,Low,TRC Survey,03-06-2026,11-09-2026,11-09-2026,16-09-2026,3.6,4.4,16,36.8,12-06-2026,60,8,6,0.71,16.08,Trunk,False,False,False,0.17,This Week,Weekly,4.4,No,36.6,3.6,27.4,0.72
DEF00039,SRJK-DYP,SRJK,DYP,1.47,South Central Railway,Guntakal,15.723186,76.659855,Bridge,Deck Slab Crack,Critical,Manual Patrol,22-09-2025,11-09-2026,12-09-2026,13-09-2026,17.6,17.08,343,4.9,24-04-2026,365,0,3,0.83,11.08,Branch,False,True,False,0.79,Immediate,Weekly,17.08,Yes,63.5,17.6,56.4,0.76
DEF00040,MAN-BJD,MAN,BJD,0.71,Central Railway,Nagpur,22.197492,79.190173,Point & Crossing,Worn Point Blade,Medium,Manual Patrol,18-08-2026,13-09-2026,13-09-2026,16-09-2026,7.0,8.1,0,6.1,12-08-2026,30,1,5,0.66,8.28,Trunk,False,True,False,0.54,This Month,Monthly,8.1,No,21.4,7.0,16.6,0.94
DEF00041,MDP-JSME,MDP,JSME,21.51,Western Railway,Ratlam,22.686289,76.827786,Ballast,Insufficient Ballast Cushion,Low,TRC Survey,17-06-2026,05-09-2026,05-09-2026,10-09-2026,8.3,9.0,0,14.7,14-07-2026,180,4,46,0.83,4.05,Trunk,False,False,True,0.7,Programmed,Monthly,9.0,Yes,19.3,8.3,12.5,0.92
DEF00042,KRP-PRTL,KRP,PRTL,1.8,Central Railway,Bhusawal,19.911347,75.844386,Ballast,Insufficient Ballast Cushion,High,Manual Patrol,06-08-2026,09-09-2026,09-09-2026,11-09-2026,6.8,7.3,13,22.2,11-07-2026,60,3,11,0.89,5.35,Trunk,False,False,False,0.27,This Week,Weekly,7.3,No,51.4,6.8,45.5,0.98
DEF00043,WTR-LNN,WTR,LNN,24.23,South Eastern Railway,Chakradharpur,19.576625,83.306237,Bridge,Deck Slab Crack,High,Manual Patrol,24-04-2026,12-09-2026,12-09-2026,14-09-2026,14.3,14.9,122,38.7,02-03-2026,365,6,3,0.59,9.58,Branch,False,False,False,0.16,Immediate,Weekly,14.9,No,72.3,14.3,73.8,0.8
DEF00044,KARO-KNF,KARO,KNF,0.97,Southern Railway,Chennai,12.742185,79.695032,Bridge,Deck Slab Crack,High,TRC Survey,24-06-2026,13-09-2026,13-09-2026,15-09-2026,14.7,15.3,58,35.7,29-08-2026,30,2,2,0.75,15.85,Branch,False,False,False,0.38,Immediate,Weekly,15.3,No,62.1,14.7,62.4,0.85
DEF00045,CHE-NWP,CHE,NWP,29.01,Central Railway,Nagpur,22.034747,80.673335,Sleeper,Sleeper Displacement,Critical,TRC Survey,21-01-2026,10-09-2026,10-09-2026,11-09-2026,4.6,5.5,220,22.2,21-07-2026,30,1,5,0.89,13.17,Trunk,False,False,False,0.24,Immediate,Weekly,5.5,No,78.5,4.6,80.8,0.78
DEF00046,KRZ-ABO,KRZ,ABO,5.36,South Central Railway,Nanded,20.270757,77.53511,Point & Crossing,Worn Point Blade,Medium,TRC Survey,12-05-2026,11-09-2026,11-09-2026,14-09-2026,5.8,6.3,90,35.1,18-08-2026,60,4,13,0.69,7.77,Trunk,False,False,False,0.34,Immediate,Weekly,6.3,No,63.3,5.8,61.4,0.88
DEF00047,HCR-SM,HCR,SM,5.36,Southern Railway,Chennai,10.53546,83.965858,Level Crossing,Missing/Loose Fastener,High,TRC Survey,27-12-2025,08-09-2026,08-09-2026,10-09-2026,1.7,2.6,238,28.0,05-06-2026,60,5,3,0.84,18.82,Branch,False,False,False,0.32,Immediate,Weekly,2.6,No,60.8,1.7,67.0,0.94
DEF00048,HWH-TPKR,HWH,TPKR,0.81,Southern Railway,Palakkad,12.840877,74.357954,Sleeper,Cracked/Broken Sleeper,Medium,Manual Patrol,14-11-2025,03-09-2026,03-09-2026,06-09-2026,5.2,6.2,258,26.4,14-05-2026,90,3,49,0.9,3.83,Trunk,False,False,False,0.11,Immediate,Weekly,6.2,No,54.7,5.2,56.5,0.84
DEF00049,PVM-ABU,PVM,ABU,0.5,South Central Railway,Vijayawada,14.623987,82.321517,Ballast,Insufficient Ballast Cushion,High,Manual Patrol,29-07-2026,11-09-2026,11-09-2026,13-09-2026,8.0,9.4,25,6.0,12-05-2026,60,1,84,0.67,3.45,Trunk,False,False,False,0.04,This Week,Weekly,9.4,No,54.2,8.0,49.5,0.8
DEF00050,KIUL-LKR,KIUL,LKR,0.31,South Central Railway,Nanded,19.575743,75.986154,Level Crossing,Missing/Loose Fastener,Low,Manual Patrol,31-07-2025,02-09-2026,02-09-2026,07-09-2026,3.0,3.7,348,9.4,16-03-2026,180,0,36,0.62,3.9,Trunk,False,False,False,0.12,Immediate,Weekly,3.7,No,38.5,3.0,40.5,0.9
DEF00051,NYRH-NCBD,NYRH,NCBD,0.23,Northern Railway,Lucknow,24.572296,81.603004,Bridge,Girder Corrosion,Low,Manual Patrol,07-01-2026,14-09-2026,14-09-2026,19-09-2026,11.1,12.3,153,10.1,24-02-2026,365,3,2,0.68,19.85,Branch,False,True,False,0.7,Immediate,Weekly,12.3,Yes,40.7,11.1,44.1,0.81
DEF00052,JTK-RGJ,JTK,RGJ,2.17,Central Railway,Pune,19.406993,74.120731,Sleeper,Sleeper Displacement,High,Manual Patrol,07-07-2026,08-09-2026,08-09-2026,10-09-2026,4.7,5.6,43,34.7,19-06-2026,365,1,4,0.69,10.62,Trunk,False,True,False,0.96,Immediate,Weekly,5.6,Yes,56.8,4.7,52.9,0.93
DEF00053,DBLA-NIP,DBLA,NIP,3.3,South Central Railway,Secunderabad,18.299956,78.033559,Ballast,Ballast Degradation,Low,Manual Patrol,30-06-2026,07-09-2026,07-09-2026,12-09-2026,6.6,7.9,15,22.5,13-07-2026,30,2,3,0.72,10.08,Branch,True,False,False,0.02,This Week,Weekly,7.9,No,22.9,6.6,22.7,0.72
DEF00054,ROB-BEF,ROB,BEF,7.83,South Eastern Railway,Chakradharpur,20.830586,82.761421,Ballast,Ballast Degradation,Medium,Manual Patrol,14-07-2026,05-09-2026,05-09-2026,08-09-2026,8.4,9.8,11,6.8,05-01-2026,180,0,6,0.7,10.4,Trunk,False,False,False,0.23,This Week,Weekly,9.8,No,23.3,8.4,22.2,0.79
DEF00055,PTHD-REI,PTHD,REI,4.96,Central Railway,Nagpur,21.636737,80.746699,Level Crossing,Missing/Loose Fastener,Low,TRC Survey,10-05-2026,05-09-2026,05-09-2026,10-09-2026,2.3,3.1,21,5.9,25-06-2026,30,1,2,0.75,20.48,Branch,True,False,False,0.12,This Week,Weekly,3.1,No,20.8,2.3,17.2,0.93
DEF00056,KBH-KHTG,KBH,KHTG,3.6,Central Railway,Solapur,15.475649,74.028171,Bridge,Deck Slab Crack,Critical,Manual Patrol,29-07-2026,06-09-2026,06-09-2026,07-09-2026,16.9,17.5,32,16.1,21-07-2026,365,1,2,0.64,12.22,Branch,False,False,False,0.05,Immediate,Weekly,17.5,No,56.6,16.9,53.5,0.71
DEF00057,SPJ-KRBP,SPJ,KRBP,10.29,Southern Railway,Chennai,12.688659,82.082797,Sleeper,Cracked/Broken Sleeper,High,Manual Patrol,09-11-2025,07-09-2026,07-09-2026,09-09-2026,3.2,4.6,286,21.1,13-07-2026,60,0,4,0.86,15.17,Trunk,False,False,False,0.16,Immediate,Weekly,4.6,No,66.8,3.2,53.9,0.78
DEF00058,GAYA-GRRU,GAYA,GRRU,1.64,South Central Railway,Nanded,18.183956,76.957776,Bridge,Bearing Wear,High,UFD,13-08-2026,10-09-2026,10-09-2026,12-09-2026,13.6,14.1,14,44.9,11-08-2026,30,4,5,0.59,9.33,Trunk,False,False,False,0.16,This Week,Weekly,14.1,No,54.8,13.6,41.7,0.94
DEF00059,BDWD-MKU,BDWD,MKU,17.34,Central Railway,Nagpur,22.355667,81.301818,Ballast,Insufficient Ballast Cushion,Critical,Manual Patrol,21-07-2026,04-09-2026,04-09-2026,05-09-2026,10.9,12.0,39,24.7,16-07-2026,30,3,4,0.88,9.32,Trunk,False,False,True,0.53,Immediate,Weekly,12.0,No,69.1,10.9,61.3,0.81
DEF00060,BSB-JLL,BSB,JLL,31.59,South Central Railway,Vijayawada,17.859348,81.523711,Ballast,Ballast Degradation,Critical,UFD,17-11-2025,03-09-2026,03-09-2026,04-09-2026,11.4,12.7,284,11.5,03-07-2026,30,2,2,0.63,24.0,Branch,False,False,False,0.0,Immediate,Weekly,12.7,No,69.2,11.4,76.6,0.72
DEF00061,FA-SOH,FA,SOH,25.18,South Central Railway,Guntur,14.988973,79.603941,Point & Crossing,Crossing Wear,Medium,UFD,11-06-2026,12-09-2026,12-09-2026,15-09-2026,3.8,4.5,56,20.8,23-03-2026,365,1,10,0.69,7.43,Trunk,False,True,False,0.98,Immediate,Weekly,4.5,Yes,47.8,3.8,42.4,0.78
DEF00062,BL-UDN,BL,UDN,48.89,South Central Railway,Secunderabad,16.35142,78.491505,Point & Crossing,Worn Point Blade,Critical,Manual Patrol,05-06-2026,08-09-2026,08-09-2026,09-09-2026,6.6,7.8,87,16.6,20-08-2026,60,2,3,0.73,23.5,Branch,False,False,False,0.31,Immediate,Weekly,7.8,No,69.5,6.6,72.3,0.72
DEF00063,TLY-DMD,TLY,DMD,0.67,South Central Railway,Vijayawada,17.898731,84.921131,Level Crossing,Loose/Cracked Fish Plate,Medium,Manual Patrol,19-07-2026,07-09-2026,07-09-2026,10-09-2026,3.1,4.4,15,2.3,25-03-2026,180,0,4,0.88,11.75,Trunk,True,True,False,0.81,This Week,Weekly,4.4,Yes,23.9,3.1,18.3,0.91
DEF00064,BLU-BJR,BLU,BJR,9.61,South Central Railway,Vijayawada,18.72055,80.453343,Rail,Rail Wear,Medium,Manual Patrol,28-08-2026,10-09-2026,10-09-2026,13-09-2026,5.6,7.1,0,43.0,23-05-2026,180,2,3,0.82,17.1,Branch,False,False,False,0.27,This Month,Monthly,7.1,No,24.8,5.6,19.2,0.93
DEF00065,JHN-PES,JHN,PES,6.26,Central Railway,Nagpur,19.725671,81.900505,Sleeper,Sleeper Displacement,High,UFD,10-08-2026,05-09-2026,05-09-2026,07-09-2026,4.9,5.9,7,36.7,05-07-2026,60,4,2,0.74,15.75,Branch,False,False,False,0.23,This Week,Weekly,5.9,No,49.6,4.9,41.9,0.71
DEF00066,AIPP-ENR,AIPP,ENR,2.28,Central Railway,Nagpur,22.541743,79.326914,Ballast,Ballast Degradation,Medium,Manual Patrol,08-11-2025,02-09-2026,02-09-2026,05-09-2026,7.0,8.3,252,23.2,13-07-2026,60,2,51,0.61,4.45,Trunk,False,False,False,0.36,Immediate,Weekly,8.3,No,51.5,7.0,61.8,0.87
DEF00067,BSL-BPL,BSL,BPL,105.52,Central Railway,Nagpur,22.689777,77.875193,Point & Crossing,Worn Point Blade,Medium,TRC Survey,01-12-2025,06-09-2026,06-09-2026,09-09-2026,3.5,4.6,254,4.8,21-01-2026,180,0,6,0.7,15.25,Trunk,False,True,True,0.79,Immediate,Weekly,4.6,Yes,55.8,3.5,52.3,0.95
DEF00068,BVR-VNR,BVR,VNR,4.47,Central Railway,Nagpur,23.294186,79.972256,Bridge,Girder Corrosion,Critical,Manual Patrol,26-04-2026,07-09-2026,08-09-2026,09-09-2026,17.6,11.45,126,40.6,24-06-2026,30,6,8,0.67,5.45,Trunk,False,False,False,0.37,Immediate,Weekly,11.45,No,89.0,17.6,85.7,0.72
DEF00069,BOKR-MUE,BOKR,MUE,1.35,Central Railway,Bhusawal,21.37937,77.2394,Ballast,Ballast Degradation,Medium,TRC Survey,25-05-2026,04-09-2026,04-09-2026,07-09-2026,7.8,8.8,82,29.6,24-11-2025,365,3,5,0.76,6.55,Trunk,False,False,False,0.31,Immediate,Weekly,8.8,No,57.7,7.8,61.2,0.8
DEF00070,KOPR-DIVA,KOPR,DIVA,2.39,South Central Railway,Vijayawada,18.676757,83.105197,Bridge,Girder Corrosion,Medium,TRC Survey,08-01-2026,11-09-2026,12-09-2026,15-09-2026,13.0,10.5,196,14.9,16-08-2026,30,0,126,0.85,4.5,Trunk,False,False,False,0.03,Immediate,Weekly,10.5,No,54.3,13.0,58.1,0.74
